Names,Rating_(Max=5),Reviews,Cost_(Max=4),Type_cuisine,Address,Area,Phone_Number,Link
Breizh Café,4.0,406,2.0,"[['Creperies'], ['Cafes'], ['Seafood']]",109 rue Vieille du Temple,Marais Nord,01 42 72 13 77,https://www.yelp.com/biz/breizh-caf%C3%A9-paris-2?osq=Restaurants
Le Black Dog,4.0,114,2.0,"[['Bars'], ['Argentine']]",26 rue des Lombards,Beaubourg,01 42 71 22 27,https://www.yelp.com/biz/le-black-dog-paris?osq=Restaurants
Au Petit Village,5.0,11,,[['French']],06 rue Coypel,Port Royal/Gobelins,01 43 37 08 57,https://www.yelp.com/biz/au-petit-village-paris?osq=Restaurants
Café Louise,4.0,72,2.0,"[['Cafes'], ['Brasseries']]",155 bd Saint Germain,Saint-Germain-Des-Prés,01 42 22 88 98,https://www.yelp.com/biz/caf%C3%A9-louise-paris?osq=Restaurants
Le Relais de l’Entrecôte,4.0,395,3.0,[['French']],20 bis rue Saint Benoît,Saint-Germain-Des-Prés,01 45 49 16 00,https://www.yelp.com/biz/le-relais-de-l-entrec%C3%B4te-paris-4?osq=Restaurants
La Régalade,4.5,83,3.0,[['French']],106 rue Saint-Honoré,Châtelet/Les Halles,01 42 21 92 40,https://www.yelp.com/biz/la-r%C3%A9galade-paris-3?osq=Restaurants
Pedzouille,5.0,17,2.0,"[['Bistros'], ['Steakhouses']]",66 rue du Faubourg Poissonnière,Strasbourg-St Denis/Bonne Nouvelle,09 86 40 42 42,https://www.yelp.com/biz/pedzouille-paris?osq=Restaurants
Les P’tites Indécises,4.0,147,2.0,[['French']],2 rue des 3 bornes,Oberkampf/Parmentier,01 43 57 26 00,https://www.yelp.com/biz/les-p-tites-ind%C3%A9cises-paris-5?osq=Restaurants
Pascade,4.5,74,3.0,[['French']],14 rue Daunou,Place Vendôme,01 42 60 11 00,https://www.yelp.com/biz/pascade-paris?osq=Restaurants
Crêperie Genia,4.5,39,1.0,[['Creperies']],15 rue de la Harpe,Saint-Michel/Odéon,Unknown,https://www.yelp.com/biz/cr%C3%AAperie-genia-paris-4?osq=Restaurants
La Crêperie de Josselin,4.0,410,2.0,"[['Creperies'], ['Gluten-Free']]",67 rue Montparnasse,Montparnasse,01 43 20 93 50,https://www.yelp.com/biz/la-cr%C3%AAperie-de-josselin-paris?osq=Restaurants
Girafe,4.5,16,,"[['French'], ['Seafood']]",1 place du Trocadéro,Trocadéro/Iéna,01 40 62 70 61,https://www.yelp.com/biz/girafe-paris?osq=Restaurants
